CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
306,Male,37,74,37
307,Male,33,62,53
308,Female,27,58,67
309,Male,37,87,76
310,Male,30,64,23
311,Female,18,97,25
312,Male,32,76,41
313,Male,22,44,67
314,Male,42,47,17
315,Female,29,41,34
316,Female,54,92,34
317,Male,61,49,74
318,Female,48,39,63
319,Male,18,68,73
320,Female,59,58,84
321,Male,60,68,42
322,Female,39,110,19
323,Female,57,84,19
324,Female,31,61,2
325,Male,18,23,38
326,Male,28,47,40
327,Female,63,79,70
328,Male,18,29,50
329,Female,38,116,37
330,Female,39,60,47
331,Female,31,61,23
332,Male,32,43,76
333,Female,39,73,29
334,Female,30,30,20
335,Female,18,117,71
336,Male,41,95,65
337,Male,53,86,5
338,Male,50,24,72
339,Male,27,65,31
340,Female,21,92,40
341,Female,34,76,55
342,Male,60,34,65
343,Female,47,43,61
344,Male,48,48,48
345,Male,51,44,39
346,Male,44,100,60
347,Male,40,15,47
348,Female,48,77,96
349,Male,31,26,65
350,Female,19,35,26
351,Male,48,15,37
352,Female,56,46,51
353,Male,23,100,83
354,Male,50,67,86
355,Male,62,29,39
356,Male,38,87,26
357,Male,27,92,22
358,Female,40,63,56
359,Female,31,114,99
360,Female,30,82,64
361,Female,44,78,9
362,Male,18,39,31
363,Male,18,77,34
364,Female,39,66,28
365,Female,38,74,40
366,Female,43,42,59
367,Female,65,63,67
368,Male,40,39,78
369,Male,47,15,63
370,Male,25,86,1
371,Male,49,21,22
372,Male,31,63,46
373,Male,39,69,54
374,Female,37,69,72
375,Female,53,53,51
376,Female,20,67,51
377,Female,18,72,56
378,Male,35,79,43
379,Male,45,106,52
380,Female,40,66,79
381,Male,56,62,48
382,Male,44,36,49
383,Male,30,72,49
384,Male,18,78,83
385,Female,35,55,21
386,Male,53,74,96
387,Female,33,52,19
388,Female,39,78,33
389,Male,44,84,69
390,Male,24,84,76
391,Male,47,63,13
392,Male,61,33,21
393,Female,36,44,57
394,Female,23,76,99
395,Female,37,124,82
396,Male,18,51,43
397,Female,43,72,1
398,Female,45,45,52
399,Male,62,34,59
400,Female,36,42,40
401,Male,44,15,28
402,Female,26,96,54
403,Female,33,15,25
404,Male,18,53,98
405,Female,36,29,89
406,Male,34,37,67
407,Male,43,96,52
408,Female,30,65,33
409,Female,40,35,49
410,Male,34,45,92
411,Male,34,40,72
412,Male,39,59,55
413,Male,39,65,74
414,Female,49,110,64
415,Female,37,15,60
416,Female,33,59,75
417,Male,36,52,63
418,Female,28,85,72
419,Male,33,69,54
420,Female,67,76,43
421,Female,26,69,36
422,Female,34,36,32
423,Male,33,92,8
424,Male,35,81,26
425,Male,34,84,25
426,Female,42,93,37
427,Male,18,71,90
428,Male,53,99,46
429,Male,47,70,56
430,Female,21,54,57
431,Male,18,60,91
432,Female,25,59,35
433,Female,35,46,44
434,Female,70,103,47
435,Male,46,68,79
436,Male,18,63,84
437,Male,29,70,62
438,Male,38,137,82
439,Male,42,30,54
440,Female,20,38,45
441,Male,36,24,80
442,Female,28,54,62
443,Male,23,67,31
444,Female,42,48,75
445,Female,49,46,44
446,Female,50,64,41
447,Female,46,47,73
448,Female,31,68,47
449,Female,48,89,60
450,Male,43,78,67
451,Female,40,83,29
452,Male,30,89,60
453,Male,31,67,85
454,Male,39,56,25
455,Male,70,40,61
456,Male,43,50,28
457,Male,30,46,76
458,Male,27,79,76
459,Female,31,69,41
460,Male,69,78,99
461,Female,33,30,78
462,Male,51,98,68
463,Female,33,49,67
464,Female,42,31,75
465,Female,49,49,24
466,Female,30,125,55
467,Male,29,50,60
468,Female,62,52,39
469,Female,52,55,62
470,Female,49,56,82
471,Female,49,40,39
472,Male,45,64,48
473,Female,67,88,29
474,Male,39,68,4
475,Female,46,31,70
476,Male,18,51,49
477,Female,27,46,51
478,Male,22,61,24
479,Male,56,95,45
480,Female,18,56,78
481,Female,33,58,50
482,Female,18,107,50
483,Male,27,83,55
484,Male,31,75,18
485,Female,58,111,66
486,Female,44,73,17
487,Female,27,15,25
488,Male,53,82,23
489,Female,39,18,45
490,Male,39,72,41
491,Female,22,15,50
492,Male,25,48,26
493,Male,27,51,76
494,Female,39,40,71
495,Female,39,51,45
496,Male,60,87,37
497,Male,44,41,35
498,Male,18,74,42
499,Female,42,35,14
500,Male,18,55,25
501,Male,25,69,72
502,Female,27,34,57
503,Female,29,26,92
504,Female,19,73,42
505,Female,41,90,40
506,Female,19,58,39
507,Female,43,48,41
508,Female,70,64,33
509,Female,20,62,57
510,Male,34,66,50
511,Female,18,15,37
512,Male,34,32,82
513,Male,47,38,99
514,Male,48,64,80
515,Male,39,65,64
516,Female,51,77,69
517,Female,70,67,98
518,Female,62,26,69
519,Female,31,98,35
520,Male,18,93,60
521,Male,33,27,66
522,Female,25,69,24
523,Female,45,44,42
524,Male,22,64,78
525,Female,37,88,3
526,Male,50,116,17
527,Male,37,80,45
528,Male,25,68,59
529,Male,55,51,15
530,Female,18,65,46
531,Female,34,96,79
532,Male,38,59,51
533,Female,39,37,74
534,Female,41,18,34
535,Male,47,74,29
536,Male,38,67,72
537,Female,33,43,59
538,Female,33,87,19
539,Female,30,49,29
540,Male,49,57,90
541,Female,29,60,26
542,Male,50,51,74
543,Male,39,66,37
544,Female,31,90,50
545,Male,47,30,57
546,Male,28,73,1
547,Male,47,65,12
548,Male,41,64,52
549,Female,30,83,31
550,Male,46,61,75
551,Male,46,73,8
552,Male,55,79,64
553,Male,52,47,14
554,Female,45,68,41
555,Male,23,53,22
556,Female,70,57,99
557,Male,19,52,15
558,Male,52,72,47
559,Female,44,62,5
560,Female,22,70,91
561,Male,37,60,60
562,Female,37,18,53
563,Male,57,61,88
564,Female,28,62,54
565,Female,35,66,55
566,Female,18,44,53
567,Female,63,29,64
568,Male,23,76,37
569,Female,43,53,44
570,Male,37,65,71
571,Male,37,53,57
572,Male,50,60,47
573,Male,62,48,14
574,Female,42,35,88
575,Female,48,73,33
576,Female,43,44,75
577,Male,53,64,54
578,Male,32,71,16
579,Female,53,45,82
580,Male,54,28,56
581,Female,53,124,84
582,Female,29,46,45
583,Female,36,76,68
584,Female,42,111,4
585,Female,19,81,37
586,Male,61,52,17
587,Female,38,58,40
588,Male,42,38,62
589,Male,30,83,34
590,Male,20,75,72
591,Female,30,47,28
592,Male,41,33,73
593,Male,48,25,84
594,Male,41,86,76
595,Female,43,63,41
596,Female,34,66,1
597,Female,45,38,65
598,Female,59,22,46
599,Male,48,85,24
600,Male,50,61,35
601,Female,42,84,87
602,Male,18,50,20
603,Male,24,54,62
604,Male,45,79,55
605,Male,38,79,40
606,Male,44,81,66
607,Female,62,52,92
608,Male,48,76,42
609,Female,56,89,43
610,Male,40,57,66
611,Male,27,47,73
612,Male,38,95,46
613,Female,27,43,42
614,Male,60,77,1
615,Female,49,59,30
616,Female,46,15,20
617,Female,56,90,67
618,Male,18,15,43
619,Male,47,15,42
620,Male,20,74,49
621,Female,38,74,27
622,Male,34,43,90
623,Female,48,64,83
624,Female,42,15,91
625,Male,57,79,67
626,Male,30,67,49
627,Female,48,59,91
628,Male,41,61,32
629,Male,18,73,27
630,Female,26,59,34
631,Male,36,15,63
632,Female,54,118,30
633,Female,45,92,46
634,Female,22,26,8
635,Male,36,51,62
636,Male,67,54,11
637,Female,40,88,26
638,Male,34,15,81
639,Male,45,47,80
640,Male,49,15,59
641,Male,32,53,57
642,Male,45,48,36
643,Female,34,62,30
644,Male,48,44,40
645,Male,41,40,11
646,Female,45,76,56
647,Female,28,72,51
648,Male,27,75,26
649,Male,52,55,90
650,Female,37,45,65
651,Female,42,57,68
652,Female,34,73,37
653,Female,51,15,50
654,Male,30,70,66
655,Female,36,68,54
656,Male,49,62,91
657,Female,55,56,44
658,Female,31,15,37
659,Female,66,49,66
660,Male,43,107,17
661,Male,24,60,74
662,Female,44,52,16
663,Female,33,61,66
664,Female,44,69,33
665,Male,38,77,62
666,Male,39,54,73
667,Female,26,71,54
668,Male,52,104,19
669,Female,22,86,27
670,Male,23,122,31
671,Female,43,43,1
672,Female,61,104,79
673,Female,33,39,53
674,Male,48,69,20
675,Female,53,79,87
676,Male,50,47,32
677,Female,34,62,56
678,Male,23,84,28
679,Male,18,41,1
680,Male,35,104,14
681,Male,55,24,38
682,Female,23,111,73
683,Male,48,86,59
684,Female,25,58,53
685,Female,40,49,1
686,Male,48,47,82
687,Female,29,56,55
688,Male,41,59,47
689,Male,33,93,79
690,Male,48,112,82
691,Female,42,65,80
692,Male,39,38,43
693,Female,60,46,24
694,Female,48,55,75
695,Female,29,33,14
696,Male,37,29,99
697,Female,37,115,50
698,Female,39,68,22
699,Female,70,38,18
700,Female,44,82,17
701,Female,18,29,53
702,Male,31,31,50
703,Male,18,39,18
704,Male,34,104,40
705,Male,18,53,14
706,Male,26,15,65
707,Male,18,92,48
708,Male,44,52,40
709,Female,38,15,16
710,Male,43,52,42
711,Female,37,74,39
712,Male,19,71,58
713,Female,46,107,54
714,Female,65,38,70
715,Male,44,61,37
716,Male,32,42,2
717,Male,18,20,75
718,Male,26,83,26
719,Female,45,72,21
720,Female,53,68,49
721,Male,42,71,58
722,Male,50,42,36
723,Male,48,34,36
724,Male,45,61,40
725,Female,29,91,86
726,Male,41,102,50
727,Female,26,81,25
728,Male,39,61,25
729,Male,43,67,43
730,Female,62,60,56
731,Male,20,33,62
732,Female,45,61,53
733,Female,59,25,28
734,Male,49,57,39
735,Male,50,103,69
736,Female,47,82,20
737,Female,56,36,38
738,Female,23,58,65
739,Male,19,38,72
740,Female,38,58,45
741,Male,18,87,39
742,Female,56,77,16
743,Female,55,125,63
744,Male,32,91,84
745,Female,33,65,99
746,Male,37,78,60
747,Female,39,55,48
748,Male,40,30,26
749,Female,46,94,1
750,Male,36,87,54
751,Female,52,54,99
752,Female,45,67,83
753,Male,30,93,79
754,Male,57,82,56
755,Female,19,22,59
756,Male,37,66,1
757,Female,52,56,69
758,Male,28,89,35
759,Female,43,87,32
760,Male,46,95,41
761,Male,26,31,40
762,Male,37,39,31
763,Male,36,89,50
764,Male,31,45,35
765,Male,70,20,52
766,Female,28,74,11
767,Female,52,46,44
768,Female,33,107,21
769,Male,23,68,33
770,Female,40,64,53
771,Male,47,50,8
772,Female,51,102,28
773,Male,60,69,64
774,Male,70,49,13
775,Male,42,39,96
776,Female,29,58,81
777,Male,45,34,37
778,Female,35,87,29
779,Male,51,15,55
780,Female,20,56,12
781,Female,70,76,1
782,Male,50,69,38
783,Male,18,41,46
784,Female,28,77,52
785,Female,50,37,34
786,Male,55,59,83
787,Female,21,77,11
788,Female,48,72,20
789,Male,18,42,62
790,Female,37,92,20
791,Male,54,62,19
792,Male,31,80,53
793,Female,18,100,22
794,Male,40,89,46
795,Male,30,89,32
796,Female,47,65,27
797,Female,26,81,1
798,Female,28,66,53
799,Female,18,28,17
800,Female,41,68,45
801,Male,36,67,36
802,Male,22,75,44
803,Female,41,57,46
804,Male,53,40,55
805,Female,35,77,31
806,Female,42,26,82
807,Male,42,98,2
808,Female,22,54,44
809,Female,67,67,71
810,Male,32,75,62
811,Female,48,76,25
812,Male,49,23,29
813,Male,36,82,24
814,Female,47,68,65
815,Female,42,43,31
816,Female,19,40,56
817,Female,34,51,57
818,Female,30,26,99
819,Male,32,105,58
820,Female,20,99,29
821,Female,54,72,12
822,Male,61,54,43
823,Male,52,55,47
824,Female,56,80,1
825,Female,34,106,31
826,Female,29,45,57
827,Female,27,31,36
828,Female,47,101,75
829,Female,42,15,9
830,Female,37,34,67
831,Male,56,54,73
832,Female,44,19,74
833,Female,27,89,9
834,Female,29,83,58
835,Female,48,45,32
836,Male,53,94,13
837,Male,46,98,39
838,Male,65,57,26
839,Male,61,48,73
840,Male,45,119,63
841,Female,27,79,20
842,Male,20,67,31
843,Male,33,96,40
844,Female,49,68,48
845,Female,64,47,76
846,Male,44,62,68
847,Female,55,87,51
848,Female,35,15,43
849,Male,47,52,4
850,Male,50,96,83
851,Female,18,47,38
852,Female,33,101,90
853,Female,52,97,55
854,Male,42,58,99
855,Male,22,45,65
856,Female,18,53,13
857,Male,33,130,34
858,Male,37,109,45
859,Female,26,63,27
860,Male,40,44,40
861,Female,45,63,14
862,Female,48,66,50
863,Male,18,27,56
864,Female,20,62,24
865,Male,34,95,99
866,Female,46,15,51
867,Male,45,82,29
868,Male,45,96,8
869,Female,33,45,51
870,Male,34,105,43
871,Female,28,42,70
872,Male,49,72,46
873,Male,25,52,19
874,Female,50,52,93
875,Male,41,44,61
876,Male,38,78,43
877,Female,29,82,54
878,Female,19,58,62
879,Female,29,24,13
880,Female,34,71,54
881,Male,18,71,38
882,Female,36,54,63
883,Male,51,109,31
884,Female,46,19,34
885,Male,31,15,93
886,Female,39,41,81
887,Female,31,79,1
888,Female,40,32,80
889,Female,60,34,48
890,Female,52,85,31
891,Female,46,72,24
892,Male,31,70,25
893,Male,49,81,32
894,Male,18,49,21
895,Male,35,50,15
896,Female,47,81,23
897,Female,49,25,58
898,Female,48,15,51
899,Female,42,49,64
900,Female,36,85,48
901,Male,46,67,16
902,Male,25,83,62
903,Male,27,15,24
904,Male,39,68,66
905,Female,41,77,20
906,Female,18,25,32
907,Female,45,83,40
908,Female,49,57,67
909,Female,37,137,54
910,Male,70,15,50
911,Female,29,96,98
912,Male,33,50,2
913,Male,33,18,23
914,Male,37,46,22
915,Male,34,67,4
916,Male,19,87,31
917,Male,31,105,67
918,Female,37,97,34
919,Female,56,35,41
920,Male,69,90,5
921,Male,57,70,29
922,Female,28,43,38
923,Male,29,54,66
924,Female,36,41,6
925,Female,63,61,38
926,Male,36,41,78
927,Male,20,33,38
928,Male,31,73,1
929,Male,49,77,83
930,Male,48,55,69
931,Female,36,96,72
932,Male,48,53,5
933,Female,18,52,89
934,Female,40,77,30
935,Male,50,57,37
936,Male,27,62,32
937,Male,27,15,74
938,Male,18,60,45
939,Female,61,15,62
940,Male,28,28,52
941,Female,42,25,47
942,Male,47,33,25
943,Male,59,46,96
944,Female,36,47,12
945,Female,31,78,60
946,Male,41,66,59
947,Male,56,15,80
948,Female,36,62,86
949,Male,25,68,46
950,Male,18,51,63
951,Female,21,58,95
952,Male,50,65,48
953,Female,34,80,22
954,Female,30,19,40
955,Female,28,54,16
956,Female,40,100,59
957,Female,35,97,77
958,Female,35,82,47
959,Female,57,74,8
960,Male,60,104,76
961,Male,18,110,4
962,Female,43,57,10
963,Female,27,35,45
964,Male,35,53,56
965,Female,43,137,61
966,Male,35,19,48
967,Female,42,48,95
968,Female,48,23,51
969,Female,42,63,76
970,Male,29,28,70
971,Female,30,57,16
972,Male,18,15,45
973,Male,26,76,99
974,Male,66,92,37
975,Female,27,50,32
976,Male,22,57,54
977,Male,43,56,38
978,Female,37,65,29
979,Female,36,59,37
980,Female,58,80,87
981,Female,46,92,46
982,Male,31,39,15
983,Female,32,52,11
984,Female,31,84,99
985,Male,51,23,44
986,Male,34,15,61
987,Male,18,66,30
988,Male,38,73,58
989,Female,18,41,87
990,Female,69,45,33
991,Female,25,40,62
992,Female,36,37,13
993,Male,42,78,99
994,Female,34,29,57
995,Male,34,53,39
996,Female,44,36,42
997,Male,60,22,37
998,Female,49,83,38
999,Male,59,46,1
1000,Male,24,65,47
1001,Male,43,20,46
1002,Female,41,41,62
1003,Female,43,80,36
1004,Male,58,128,30
1005,Female,35,15,49
1006,Female,33,55,8
1007,Female,46,71,53
1008,Female,18,44,2
1009,Male,35,82,79
1010,Male,36,37,67
1011,Female,25,64,26
1012,Female,53,46,67
1013,Female,24,92,53
1014,Female,36,42,24
1015,Male,42,51,1
1016,Female,57,85,58
1017,Male,38,33,29
1018,Female,51,62,78
1019,Male,48,15,50
1020,Female,40,31,32
1021,Female,23,70,96
1022,Male,18,34,65
1023,Male,40,46,1
1024,Female,31,73,37
1025,Female,51,45,14
1026,Male,49,82,29
1027,Female,36,66,46
1028,Female,22,72,59
1029,Male,45,93,56
1030,Male,24,68,78
1031,Female,28,100,66
1032,Female,25,84,65
1033,Female,36,46,55
1034,Female,55,94,83
1035,Male,38,67,42
1036,Male,32,50,42
1037,Male,18,67,1
1038,Male,46,89,77
1039,Female,27,72,48
1040,Female,40,108,99
1041,Male,33,89,39
1042,Male,50,74,52
1043,Female,36,33,64
1044,Female,38,55,21
1045,Female,45,62,59
1046,Female,68,78,51
1047,Female,51,77,42
1048,Female,37,65,80
1049,Male,38,63,26
1050,Male,31,79,57
1051,Male,25,38,87
1052,Female,31,105,31
1053,Female,28,15,42
1054,Female,47,98,99
1055,Male,23,59,62
1056,Male,57,86,37
1057,Male,49,70,70
1058,Male,39,69,35
1059,Female,38,75,9
1060,Female,31,81,85
1061,Female,42,51,21
1062,Female,54,87,99
1063,Female,29,32,37
1064,Female,18,60,99
1065,Male,48,82,14
1066,Female,43,86,76
1067,Female,23,72,63
1068,Female,28,50,71
1069,Male,26,84,75
1070,Male,28,42,37
1071,Male,34,106,16
1072,Female,35,58,48
1073,Male,29,20,55
1074,Female,28,29,38
1075,Female,35,61,57
1076,Male,41,64,58
1077,Female,34,112,26
1078,Female,55,33,60
1079,Male,45,61,43
1080,Female,18,32,32
1081,Male,46,47,70
1082,Male,47,104,30
1083,Female,32,30,38
1084,Female,18,75,52
1085,Female,38,70,85
1086,Female,38,59,55
1087,Female,23,74,63
1088,Female,18,30,42
1089,Female,37,104,48
1090,Female,35,111,48
1091,Male,33,61,57
1092,Female,37,124,42
1093,Male,23,50,84
1094,Female,32,71,40
1095,Male,46,98,6
1096,Female,33,48,99
1097,Male,18,24,41
1098,Male,32,18,84
1099,Female,23,114,86
1100,Male,42,46,74
1101,Female,43,55,45
1102,Male,18,31,57
1103,Male,49,85,17
1104,Male,23,40,99
1105,Female,60,47,28
1106,Male,38,68,43
1107,Female,21,32,52
1108,Male,22,55,47
1109,Male,43,97,33
1110,Male,33,71,86
1111,Male,37,63,74
1112,Female,61,66,58
1113,Female,29,50,39
1114,Female,39,112,77
1115,Male,58,39,38
1116,Male,42,66,90
1117,Male,18,63,53
1118,Female,45,87,81
1119,Male,22,89,47
1120,Female,58,59,52
1121,Male,27,68,81
1122,Male,70,69,99
1123,Male,59,15,90
1124,Male,27,18,72
1125,Female,39,44,65
1126,Male,49,45,37
1127,Female,49,29,57
1128,Male,45,80,26
1129,Female,56,60,59
1130,Male,37,54,61
1131,Female,33,27,1
1132,Female,34,59,51
1133,Female,50,15,60
1134,Male,43,56,48
1135,Female,42,62,59
1136,Male,49,66,15
1137,Male,18,19,30
1138,Male,43,66,76
1139,Male,41,33,50
1140,Female,62,39,58
1141,Male,18,79,36
1142,Female,60,113,50
1143,Female,39,61,1
1144,Female,45,39,72
1145,Female,62,65,96
1146,Male,46,85,22
1147,Female,44,76,25
1148,Male,42,132,61
1149,Female,32,41,88
1150,Female,38,67,50
1151,Female,28,101,18
1152,Male,38,99,44
1153,Male,18,15,23
1154,Male,44,60,32
1155,Male,37,99,42
1156,Male,34,136,26
1157,Female,41,79,30
1158,Male,18,50,52
1159,Female,65,34,55
1160,Female,37,118,13
1161,Female,36,79,60
1162,Male,25,38,40
1163,Male,39,55,68
1164,Male,58,68,70
1165,Male,53,74,36
1166,Female,50,36,66
1167,Male,46,44,28
1168,Female,33,17,84
1169,Female,18,87,29
1170,Female,36,51,59
1171,Male,35,72,45
1172,Male,53,97,23
1173,Female,43,66,73
1174,Male,61,57,34
1175,Male,55,65,6
1176,Male,32,62,1
1177,Male,18,93,27
1178,Female,58,68,85
1179,Male,57,46,82
1180,Female,19,88,31
1181,Male,59,92,40
1182,Female,44,25,38
1183,Female,41,100,15
1184,Female,61,70,25
1185,Male,57,68,75
1186,Male,47,86,63
1187,Male,45,45,57
1188,Female,47,85,15
1189,Female,33,50,52
1190,Female,38,21,1
1191,Male,26,34,71
1192,Female,34,75,56
1193,Male,33,35,15
1194,Female,29,102,91
1195,Male,40,91,3
1196,Female,34,95,63
1197,Male,45,63,64
1198,Male,18,67,18
1199,Female,37,29,49
1200,Male,40,86,7
1201,Female,34,70,1
1202,Female,36,75,22
1203,Female,18,104,34
1204,Male,43,44,66
1205,Male,47,57,51
1206,Female,45,69,52
1207,Male,53,35,24
1208,Female,41,55,36
1209,Male,45,73,26
1210,Male,41,52,18
1211,Male,48,94,34
1212,Male,18,20,52
1213,Male,26,90,35
1214,Female,61,77,41
1215,Female,18,45,68
1216,Male,36,36,37
1217,Female,55,15,15
1218,Female,37,39,64
1219,Female,33,88,57
1220,Female,40,59,58
1221,Female,33,91,66
1222,Male,39,44,61
1223,Male,29,79,50
1224,Male,54,41,99
1225,Female,58,35,17
1226,Male,36,57,35
1227,Female,19,43,75
1228,Male,31,20,53
1229,Female,36,55,69
1230,Male,45,63,54
1231,Male,24,93,85
1232,Male,28,85,24
1233,Male,45,92,84
1234,Male,51,79,80
1235,Female,30,69,18
1236,Male,20,28,66
1237,Male,70,64,49
1238,Female,49,76,34
1239,Male,35,98,1
1240,Female,50,78,24
1241,Female,37,93,68
1242,Male,50,33,71
1243,Male,41,51,44
1244,Male,40,71,71
